ANOVA table for Choice 1 :
              sum_sq        df         F    PR(>F)
choice_1    0.015724      15.0  2.514881  0.000992
Residual  104.201922  249984.0       NaN       NaN

Tukey HSD test results for Choice 1:
    Multiple Comparison of Means - Tukey HSD, FWER=0.01     
============================================================
   group1     group2   meandiff p-adj   lower  upper  reject
------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT  -0.0006 0.3032 -0.0015 0.0003  False
AWFIT-AWFIT AWFIT-FFIT  -0.0003 0.9912 -0.0012 0.0006  False
AWFIT-AWFIT AWFIT-WFIT  -0.0002    1.0 -0.0011 0.0007  False
AWFIT-AWFIT BFIT-AWFIT  -0.0004 0.9527 -0.0013 0.0005  False
AWFIT-AWFIT  BFIT-BFIT  -0.0003 0.9964 -0.0012 0.0006  False
AWFIT-AWFIT  BFIT-FFIT      0.0    1.0 -0.0009 0.0009  False
AWFIT-AWFIT  BFIT-WFIT  -0.0006 0.4319 -0.0015 0.0003  False
AWFIT-AWFIT FFIT-AWFIT  -0.0005 0.8241 -0.0014 0.0004  False
AWFIT-AWFIT  FFIT-BFIT  -0.0002    1.0 -0.0011 0.0007  False
AWFIT-AWFIT  FFIT-FFIT  -0.0001    1.0  -0.001 0.0008  False
AWFIT-AWFIT  FFIT-WFIT   0.0003 0.9988 -0.0006 0.0011  False
AWFIT-AWFIT WFIT-AWFIT  -0.0006 0.4374 -0.0015 0.0003  False
AWFIT-AWFIT  WFIT-BFIT  -0.0001    1.0  -0.001 0.0008  False
AWFIT-AWFIT  WFIT-FFIT      0.0    1.0 -0.0008 0.0009  False
AWFIT-AWFIT  WFIT-WFIT     -0.0    1.0 -0.0009 0.0008  False
 AWFIT-BFIT AWFIT-FFIT   0.0003 0.9951 -0.0006 0.0012  False
 AWFIT-BFIT AWFIT-WFIT   0.0004 0.9014 -0.0005 0.0013  False
 AWFIT-BFIT BFIT-AWFIT   0.0002 0.9997 -0.0007 0.0011  False
 AWFIT-BFIT  BFIT-BFIT   0.0003 0.9887 -0.0006 0.0012  False
 AWFIT-BFIT  BFIT-FFIT   0.0006 0.2707 -0.0003 0.0015  False
 AWFIT-BFIT  BFIT-WFIT      0.0    1.0 -0.0009 0.0009  False
 AWFIT-BFIT FFIT-AWFIT   0.0002    1.0 -0.0007 0.0011  False
 AWFIT-BFIT  FFIT-BFIT   0.0004 0.8795 -0.0005 0.0013  False
 AWFIT-BFIT  FFIT-FFIT   0.0005 0.5696 -0.0003 0.0014  False
 AWFIT-BFIT  FFIT-WFIT   0.0009 0.0098     0.0 0.0018   True
 AWFIT-BFIT WFIT-AWFIT      0.0    1.0 -0.0009 0.0009  False
 AWFIT-BFIT  WFIT-BFIT   0.0005 0.7638 -0.0004 0.0014  False
 AWFIT-BFIT  WFIT-FFIT   0.0007 0.1968 -0.0002 0.0016  False
 AWFIT-BFIT  WFIT-WFIT   0.0006 0.4699 -0.0003 0.0015  False
 AWFIT-FFIT AWFIT-WFIT   0.0001    1.0 -0.0008  0.001  False
 AWFIT-FFIT BFIT-AWFIT  -0.0001    1.0  -0.001 0.0008  False
 AWFIT-FFIT  BFIT-BFIT      0.0    1.0 -0.0009 0.0009  False
 AWFIT-FFIT  BFIT-FFIT   0.0003 0.9859 -0.0006 0.0012  False
 AWFIT-FFIT  BFIT-WFIT  -0.0003  0.999 -0.0012 0.0006  False
 AWFIT-FFIT FFIT-AWFIT  -0.0001    1.0  -0.001 0.0008  False
 AWFIT-FFIT  FFIT-BFIT   0.0001    1.0 -0.0008  0.001  False
 AWFIT-FFIT  FFIT-FFIT   0.0002 0.9997 -0.0007 0.0011  False
 AWFIT-FFIT  FFIT-WFIT   0.0006 0.4352 -0.0003 0.0015  False
 AWFIT-FFIT WFIT-AWFIT  -0.0003  0.999 -0.0012 0.0006  False
 AWFIT-FFIT  WFIT-BFIT   0.0002    1.0 -0.0007 0.0011  False
 AWFIT-FFIT  WFIT-FFIT   0.0004  0.968 -0.0005 0.0013  False
 AWFIT-FFIT  WFIT-WFIT   0.0003 0.9986 -0.0006 0.0012  False
 AWFIT-WFIT BFIT-AWFIT  -0.0002    1.0 -0.0011 0.0007  False
 AWFIT-WFIT  BFIT-BFIT  -0.0001    1.0  -0.001 0.0008  False
 AWFIT-WFIT  BFIT-FFIT   0.0002 0.9999 -0.0007 0.0011  False
 AWFIT-WFIT  BFIT-WFIT  -0.0004 0.9567 -0.0013 0.0005  False
 AWFIT-WFIT FFIT-AWFIT  -0.0003 0.9993 -0.0012 0.0006  False
 AWFIT-WFIT  FFIT-BFIT      0.0    1.0 -0.0009 0.0009  False
 AWFIT-WFIT  FFIT-FFIT   0.0001    1.0 -0.0008  0.001  False
 AWFIT-WFIT  FFIT-WFIT   0.0005 0.8098 -0.0004 0.0014  False
 AWFIT-WFIT WFIT-AWFIT  -0.0004 0.9575 -0.0013 0.0005  False
 AWFIT-WFIT  WFIT-BFIT   0.0001    1.0 -0.0008  0.001  False
 AWFIT-WFIT  WFIT-FFIT   0.0002 0.9995 -0.0006 0.0011  False
 AWFIT-WFIT  WFIT-WFIT   0.0002    1.0 -0.0007 0.0011  False
 BFIT-AWFIT  BFIT-BFIT   0.0001    1.0 -0.0008  0.001  False
