ANOVA table for Choice 1 :
              sum_sq        df         F        PR(>F)
choice_1    0.049264      15.0  6.223669  2.352687e-13
Residual  131.919379  249988.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT  -0.0004 0.9684 -0.0014  0.0006  False
AWFIT-AWFIT AWFIT-FFIT  -0.0006 0.7154 -0.0016  0.0004  False
AWFIT-AWFIT AWFIT-WFIT  -0.0005  0.838 -0.0015  0.0005  False
AWFIT-AWFIT BFIT-AWFIT  -0.0008 0.1141 -0.0018  0.0002  False
AWFIT-AWFIT  BFIT-BFIT  -0.0011 0.0021 -0.0021 -0.0001   True
AWFIT-AWFIT  BFIT-FFIT   -0.001 0.0168 -0.0019     0.0  False
AWFIT-AWFIT  BFIT-WFIT  -0.0011 0.0011 -0.0022 -0.0001   True
AWFIT-AWFIT FFIT-AWFIT  -0.0006 0.5369 -0.0016  0.0004  False
AWFIT-AWFIT  FFIT-BFIT   0.0001    1.0 -0.0009  0.0011  False
AWFIT-AWFIT  FFIT-FFIT  -0.0006 0.5037 -0.0016  0.0004  False
AWFIT-AWFIT  FFIT-WFIT  -0.0009 0.0303 -0.0019  0.0001  False
AWFIT-AWFIT WFIT-AWFIT   0.0002 0.9999 -0.0008  0.0012  False
AWFIT-AWFIT  WFIT-BFIT  -0.0003 0.9986 -0.0013  0.0007  False
AWFIT-AWFIT  WFIT-FFIT  -0.0006 0.7343 -0.0015  0.0004  False
AWFIT-AWFIT  WFIT-WFIT  -0.0014    0.0 -0.0024 -0.0004   True
 AWFIT-BFIT AWFIT-FFIT  -0.0001    1.0 -0.0012  0.0009  False
 AWFIT-BFIT AWFIT-WFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-BFIT BFIT-AWFIT  -0.0004 0.9789 -0.0014  0.0006  False
 AWFIT-BFIT  BFIT-BFIT  -0.0007 0.3726 -0.0017  0.0003  False
 AWFIT-BFIT  BFIT-FFIT  -0.0005 0.7667 -0.0015  0.0005  False
 AWFIT-BFIT  BFIT-WFIT  -0.0007 0.2712 -0.0018  0.0003  False
 AWFIT-BFIT FFIT-AWFIT  -0.0002    1.0 -0.0012  0.0008  False
 AWFIT-BFIT  FFIT-BFIT   0.0005 0.8107 -0.0005  0.0015  False
 AWFIT-BFIT  FFIT-FFIT  -0.0002    1.0 -0.0012  0.0008  False
 AWFIT-BFIT  FFIT-WFIT  -0.0005 0.8505 -0.0015  0.0005  False
 AWFIT-BFIT WFIT-AWFIT   0.0007 0.4657 -0.0004  0.0017  False
 AWFIT-BFIT  WFIT-BFIT   0.0001    1.0 -0.0009  0.0011  False
 AWFIT-BFIT  WFIT-FFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-BFIT  WFIT-WFIT   -0.001 0.0169  -0.002     0.0  False
 AWFIT-FFIT AWFIT-WFIT      0.0    1.0  -0.001  0.0011  False
 AWFIT-FFIT BFIT-AWFIT  -0.0003 0.9999 -0.0013  0.0008  False
 AWFIT-FFIT  BFIT-BFIT  -0.0005 0.7784 -0.0016  0.0005  False
 AWFIT-FFIT  BFIT-FFIT  -0.0004 0.9788 -0.0014  0.0006  False
 AWFIT-FFIT  BFIT-WFIT  -0.0006 0.6657 -0.0016  0.0004  False
 AWFIT-FFIT FFIT-AWFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-FFIT  FFIT-BFIT   0.0007 0.4007 -0.0003  0.0017  False
 AWFIT-FFIT  FFIT-FFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-FFIT  FFIT-WFIT  -0.0004 0.9915 -0.0014  0.0006  False
 AWFIT-FFIT WFIT-AWFIT   0.0008   0.14 -0.0002  0.0018  False
 AWFIT-FFIT  WFIT-BFIT   0.0003 0.9998 -0.0008  0.0013  False
 AWFIT-FFIT  WFIT-FFIT      0.0    1.0  -0.001   0.001  False
 AWFIT-FFIT  WFIT-WFIT  -0.0008 0.1012 -0.0019  0.0002  False
 AWFIT-WFIT BFIT-AWFIT  -0.0003 0.9989 -0.0013  0.0007  False
 AWFIT-WFIT  BFIT-BFIT  -0.0006 0.6508 -0.0016  0.0004  False
 AWFIT-WFIT  BFIT-FFIT  -0.0004 0.9418 -0.0014  0.0006  False
 AWFIT-WFIT  BFIT-WFIT  -0.0006 0.5276 -0.0017  0.0004  False
 AWFIT-WFIT FFIT-AWFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-WFIT  FFIT-BFIT   0.0006 0.5478 -0.0004  0.0016  False
 AWFIT-WFIT  FFIT-FFIT  -0.0001    1.0 -0.0011  0.0009  False
 AWFIT-WFIT  FFIT-WFIT  -0.0004 0.9719 -0.0014  0.0006  False
 AWFIT-WFIT WFIT-AWFIT   0.0008 0.2267 -0.0003  0.0018  False
 AWFIT-WFIT  WFIT-BFIT   0.0002    1.0 -0.0008  0.0012  False
 AWFIT-WFIT  WFIT-FFIT     -0.0    1.0  -0.001   0.001  False
 AWFIT-WFIT  WFIT-WFIT  -0.0009 0.0592 -0.0019  0.0001  False
