ANOVA table for Choice 1 :
             sum_sq        df         F        PR(>F)
choice_1   0.029919      15.0  5.949394  1.381979e-12
Residual  83.811334  249987.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0002 0.9998 -0.0006   0.001  False
AWFIT-AWFIT AWFIT-FFIT   0.0001    1.0 -0.0007  0.0009  False
AWFIT-AWFIT AWFIT-WFIT   0.0009 0.0009  0.0001  0.0017   True
AWFIT-AWFIT BFIT-AWFIT   0.0001    1.0 -0.0007  0.0009  False
AWFIT-AWFIT  BFIT-BFIT   0.0006 0.3718 -0.0003  0.0014  False
AWFIT-AWFIT  BFIT-FFIT   0.0007 0.0316 -0.0001  0.0015  False
AWFIT-AWFIT  BFIT-WFIT   0.0004 0.8905 -0.0004  0.0012  False
AWFIT-AWFIT FFIT-AWFIT  -0.0001    1.0 -0.0009  0.0008  False
AWFIT-AWFIT  FFIT-BFIT   0.0006 0.1873 -0.0002  0.0014  False
AWFIT-AWFIT  FFIT-FFIT   0.0007 0.0682 -0.0001  0.0015  False
AWFIT-AWFIT  FFIT-WFIT    0.001 0.0001  0.0002  0.0019   True
AWFIT-AWFIT WFIT-AWFIT   0.0001    1.0 -0.0007   0.001  False
AWFIT-AWFIT  WFIT-BFIT      0.0    1.0 -0.0008  0.0008  False
AWFIT-AWFIT  WFIT-FFIT      0.0    1.0 -0.0007  0.0008  False
AWFIT-AWFIT  WFIT-WFIT   0.0006  0.131 -0.0002  0.0015  False
 AWFIT-BFIT AWFIT-FFIT  -0.0001    1.0 -0.0009  0.0007  False
 AWFIT-BFIT AWFIT-WFIT   0.0007 0.0415 -0.0001  0.0015  False
 AWFIT-BFIT BFIT-AWFIT  -0.0001    1.0 -0.0009  0.0007  False
 AWFIT-BFIT  BFIT-BFIT   0.0003 0.9567 -0.0005  0.0011  False
 AWFIT-BFIT  BFIT-FFIT   0.0005 0.4095 -0.0003  0.0013  False
 AWFIT-BFIT  BFIT-WFIT   0.0002 0.9999 -0.0006   0.001  False
 AWFIT-BFIT FFIT-AWFIT  -0.0003 0.9967 -0.0011  0.0006  False
 AWFIT-BFIT  FFIT-BFIT   0.0004 0.8401 -0.0004  0.0012  False
 AWFIT-BFIT  FFIT-FFIT   0.0005 0.5837 -0.0003  0.0013  False
 AWFIT-BFIT  FFIT-WFIT   0.0008 0.0058     0.0  0.0016   True
 AWFIT-BFIT WFIT-AWFIT  -0.0001    1.0 -0.0009  0.0007  False
 AWFIT-BFIT  WFIT-BFIT  -0.0002    1.0  -0.001  0.0006  False
 AWFIT-BFIT  WFIT-FFIT  -0.0002    1.0 -0.0009  0.0006  False
 AWFIT-BFIT  WFIT-WFIT   0.0004 0.7512 -0.0004  0.0012  False
 AWFIT-FFIT AWFIT-WFIT   0.0008 0.0057     0.0  0.0016   True
 AWFIT-FFIT BFIT-AWFIT      0.0    1.0 -0.0008  0.0008  False
 AWFIT-FFIT  BFIT-BFIT   0.0004 0.7117 -0.0003  0.0012  False
 AWFIT-FFIT  BFIT-FFIT   0.0006 0.1233 -0.0002  0.0014  False
 AWFIT-FFIT  BFIT-WFIT   0.0003 0.9911 -0.0005  0.0011  False
 AWFIT-FFIT FFIT-AWFIT  -0.0002    1.0  -0.001  0.0006  False
 AWFIT-FFIT  FFIT-BFIT   0.0005 0.4705 -0.0003  0.0013  False
 AWFIT-FFIT  FFIT-FFIT   0.0006 0.2247 -0.0002  0.0014  False
 AWFIT-FFIT  FFIT-WFIT   0.0009 0.0005  0.0001  0.0017   True
 AWFIT-FFIT WFIT-AWFIT      0.0    1.0 -0.0008  0.0008  False
 AWFIT-FFIT  WFIT-BFIT  -0.0001    1.0 -0.0008  0.0007  False
 AWFIT-FFIT  WFIT-FFIT  -0.0001    1.0 -0.0008  0.0007  False
 AWFIT-FFIT  WFIT-WFIT   0.0005 0.3655 -0.0003  0.0013  False
 AWFIT-WFIT BFIT-AWFIT  -0.0008 0.0111 -0.0016     0.0  False
 AWFIT-WFIT  BFIT-BFIT  -0.0004 0.9153 -0.0012  0.0004  False
 AWFIT-WFIT  BFIT-FFIT  -0.0002 0.9999  -0.001  0.0006  False
 AWFIT-WFIT  BFIT-WFIT  -0.0005  0.461 -0.0013  0.0003  False
 AWFIT-WFIT FFIT-AWFIT   -0.001 0.0003 -0.0018 -0.0002   True
 AWFIT-WFIT  FFIT-BFIT  -0.0003 0.9799 -0.0011  0.0005  False
 AWFIT-WFIT  FFIT-FFIT  -0.0002 0.9993  -0.001  0.0006  False
 AWFIT-WFIT  FFIT-WFIT   0.0001    1.0 -0.0007  0.0009  False
 AWFIT-WFIT WFIT-AWFIT  -0.0008 0.0149 -0.0016     0.0  False
 AWFIT-WFIT  WFIT-BFIT  -0.0009 0.0011 -0.0017 -0.0001   True
 AWFIT-WFIT  WFIT-FFIT  -0.0009 0.0019 -0.0017 -0.0001   True
 AWFIT-WFIT  WFIT-WFIT  -0.0003  0.994 -0.0011  0.0005  False
