ANOVA table for Choice 1 :
             sum_sq        df          F        PR(>F)
choice_1   0.032010      15.0  22.472328  1.166753e-62
Residual  23.739296  249990.0        NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0002 0.9611 -0.0002  0.0006  False
AWFIT-AWFIT AWFIT-FFIT   0.0002  0.879 -0.0002  0.0006  False
AWFIT-AWFIT AWFIT-WFIT  -0.0004 0.0157 -0.0008     0.0  False
AWFIT-AWFIT BFIT-AWFIT  -0.0002 0.6987 -0.0007  0.0002  False
AWFIT-AWFIT  BFIT-BFIT      0.0    1.0 -0.0004  0.0005  False
AWFIT-AWFIT  BFIT-FFIT      0.0    1.0 -0.0004  0.0005  False
AWFIT-AWFIT  BFIT-WFIT  -0.0006    0.0 -0.0011 -0.0002   True
AWFIT-AWFIT FFIT-AWFIT    0.001    0.0  0.0006  0.0014   True
AWFIT-AWFIT  FFIT-BFIT   0.0004 0.0319    -0.0  0.0008  False
AWFIT-AWFIT  FFIT-FFIT  -0.0001 0.9999 -0.0005  0.0003  False
AWFIT-AWFIT  FFIT-WFIT   0.0003  0.431 -0.0001  0.0007  False
AWFIT-AWFIT WFIT-AWFIT   0.0001 0.9999 -0.0003  0.0005  False
AWFIT-AWFIT  WFIT-BFIT   0.0005 0.0007  0.0001  0.0009   True
AWFIT-AWFIT  WFIT-FFIT   0.0003 0.2862 -0.0001  0.0007  False
AWFIT-AWFIT  WFIT-WFIT   0.0002 0.9853 -0.0003  0.0006  False
 AWFIT-BFIT AWFIT-FFIT      0.0    1.0 -0.0004  0.0005  False
 AWFIT-BFIT AWFIT-WFIT  -0.0006    0.0  -0.001 -0.0002   True
 AWFIT-BFIT BFIT-AWFIT  -0.0004 0.0144 -0.0009     0.0  False
 AWFIT-BFIT  BFIT-BFIT  -0.0001 0.9956 -0.0006  0.0003  False
 AWFIT-BFIT  BFIT-FFIT  -0.0001 0.9972 -0.0006  0.0003  False
 AWFIT-BFIT  BFIT-WFIT  -0.0008    0.0 -0.0012 -0.0003   True
 AWFIT-BFIT FFIT-AWFIT   0.0008    0.0  0.0004  0.0012   True
 AWFIT-BFIT  FFIT-BFIT   0.0002 0.8902 -0.0002  0.0006  False
 AWFIT-BFIT  FFIT-FFIT  -0.0003  0.439 -0.0007  0.0001  False
 AWFIT-BFIT  FFIT-WFIT   0.0001    1.0 -0.0003  0.0005  False
 AWFIT-BFIT WFIT-AWFIT  -0.0001    1.0 -0.0005  0.0003  False
 AWFIT-BFIT  WFIT-BFIT   0.0003 0.2415 -0.0001  0.0007  False
 AWFIT-BFIT  WFIT-FFIT   0.0001 0.9996 -0.0003  0.0005  False
 AWFIT-BFIT  WFIT-WFIT     -0.0    1.0 -0.0004  0.0004  False
 AWFIT-FFIT AWFIT-WFIT  -0.0006    0.0  -0.001 -0.0002   True
 AWFIT-FFIT BFIT-AWFIT  -0.0005 0.0052 -0.0009    -0.0   True
 AWFIT-FFIT  BFIT-BFIT  -0.0002 0.9751 -0.0006  0.0003  False
 AWFIT-FFIT  BFIT-FFIT  -0.0002 0.9828 -0.0006  0.0003  False
 AWFIT-FFIT  BFIT-WFIT  -0.0008    0.0 -0.0013 -0.0004   True
 AWFIT-FFIT FFIT-AWFIT   0.0008    0.0  0.0004  0.0012   True
 AWFIT-FFIT  FFIT-BFIT   0.0002 0.9612 -0.0002  0.0006  False
 AWFIT-FFIT  FFIT-FFIT  -0.0003 0.2656 -0.0007  0.0001  False
 AWFIT-FFIT  FFIT-WFIT   0.0001    1.0 -0.0004  0.0005  False
 AWFIT-FFIT WFIT-AWFIT  -0.0001 0.9999 -0.0005  0.0003  False
 AWFIT-FFIT  WFIT-BFIT   0.0003  0.377 -0.0001  0.0007  False
 AWFIT-FFIT  WFIT-FFIT   0.0001    1.0 -0.0003  0.0005  False
 AWFIT-FFIT  WFIT-WFIT  -0.0001    1.0 -0.0005  0.0004  False
 AWFIT-WFIT BFIT-AWFIT   0.0002 0.9869 -0.0003  0.0006  False
 AWFIT-WFIT  BFIT-BFIT   0.0004 0.0048     0.0  0.0009   True
 AWFIT-WFIT  BFIT-FFIT   0.0004 0.0069     0.0  0.0009   True
 AWFIT-WFIT  BFIT-WFIT  -0.0002 0.9175 -0.0006  0.0002  False
 AWFIT-WFIT FFIT-AWFIT   0.0014    0.0   0.001  0.0018   True
 AWFIT-WFIT  FFIT-BFIT   0.0008    0.0  0.0004  0.0012   True
 AWFIT-WFIT  FFIT-FFIT   0.0003 0.2466 -0.0001  0.0007  False
 AWFIT-WFIT  FFIT-WFIT   0.0007    0.0  0.0003  0.0011   True
 AWFIT-WFIT WFIT-AWFIT   0.0005 0.0002  0.0001  0.0009   True
 AWFIT-WFIT  WFIT-BFIT   0.0009    0.0  0.0005  0.0013   True
 AWFIT-WFIT  WFIT-FFIT   0.0007    0.0  0.0003  0.0011   True
 AWFIT-WFIT  WFIT-WFIT   0.0006    0.0  0.0002   0.001   True
 BFIT-AWFIT  BFIT-BFIT   0.0003 0.4678 -0.0002  0.0007  False
